code coverage
start time: 2026-02-24 22:19:03
[nasir_TestApp_tag_2026]  0.14784% (90/60878) --> 89.00000
[nasir_TestApp_tag_2026]  3.05365% (1859/60878) --> 19.65556
[nasir_TestApp_tag_2026]  3.17027% (1930/60878) -->  0.03819
[nasir_TestApp_tag_2026]  3.17027% (1930/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17520% (1933/60878) -->  0.00155
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00103
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.17849% (1935/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.41503% (2079/60878) -->  0.07442
[nasir_TestApp_tag_2026]  3.41503% (2079/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.49552% (2128/60878) -->  0.02357
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.01363
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54315% (2157/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.54644% (2159/60878) -->  0.00093
[nasir_TestApp_tag_2026]  3.55958% (2167/60878) -->  0.00371
[nasir_TestApp_tag_2026]  3.55958% (2167/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.55958% (2167/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.55958% (2167/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.56286% (2169/60878) -->  0.00092
[nasir_TestApp_tag_2026]  3.57600% (2177/60878) -->  0.00369
[nasir_TestApp_tag_2026]  3.57600% (2177/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.57600% (2177/60878) -->  0.00000
[nasir_TestApp_tag_2026]  3.57600% (2177/60878) -->  0.00000
